date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/17/2024,04:45,17.3,.55,7.14,7.96,83,1.47,1.99,.22,-5200,7.4
05/17/2024,05:00,17.32,.55,7.13,7.95,82.9,1.38,1.93,.17,-5200,7.4
05/17/2024,05:15,17.31,.55,7.13,7.93,82.7,1.44,2.04,.19,-5400,7.4
05/17/2024,05:30,17.28,.55,7.13,7.93,82.7,1.4,1.89,.2,-5400,7.5
05/17/2024,05:45,17.28,.55,7.13,7.93,82.6,1.69,2.11,.18,-5200,7.6
05/17/2024,06:00,17.24,.55,7.13,7.93,82.6,1.44,1.75,.15,-5200,7.6
05/17/2024,06:15,17.26,.55,7.12,7.9,82.4,1.68,1.83,.19,-5200,7.5
05/17/2024,06:30,17.26,.55,7.12,7.91,82.4,1.48,1.56,.17,-5200,7.4
05/17/2024,06:45,17.27,.55,7.13,7.92,82.6,1.58,1.82,.19,-5100,7.3
05/17/2024,07:00,17.27,.55,7.12,7.92,82.5,1.75,1.68,.18,-3300,7.2
05/17/2024,07:15,17.26,.55,7.12,7.93,82.7,1.42,1.85,.19,-3300,7.2
05/17/2024,07:30,17.26,.55,7.12,7.94,82.8,1.44,2,.19,-3300,7.2
05/17/2024,07:45,17.27,.55,7.11,7.94,82.7,1.44,1.98,.21,-5100,7.2
05/17/2024,08:00,17.27,.55,7.11,7.95,82.8,1.53,1.75,.2,-4000,7.2
05/17/2024,08:15,17.28,.55,7.12,7.96,82.9,1.4,1.89,.19,-5100,7.2
05/17/2024,08:30,17.28,.55,7.12,7.94,82.8,1.4,1.77,.2,-5600,7.2
05/17/2024,08:45,17.32,.55,7.12,7.96,83,1.48,1.63,.22,-5600,7.2
05/17/2024,09:00,17.32,.55,7.13,7.99,83.4,1.45,1.89,.19,-5600,7.4
05/17/2024,09:15,17.49,.55,7.14,8.1,84.8,1.38,1.67,.21,-5600,7.3
05/17/2024,09:30,17.66,.55,7.15,8.15,85.6,1.31,1.67,.21,-6100,7.2
05/17/2024,09:45,17.74,.55,7.14,8.18,86.1,1.45,1.35,.18,-6000,7
05/17/2024,10:00,17.66,.56,7.13,8.13,85.4,1.39,1.62,.2,-6700,6.9
05/17/2024,10:15,17.63,.56,7.12,8.15,85.6,1.55,1.7,.2,-6000,6.9
05/17/2024,10:30,17.64,.55,7.12,8.1,85.1,2.08,1.57,.16,-5400,6.8
05/17/2024,10:45,17.69,.55,7.13,8.2,86.2,1.94,1.73,.2,-5400,6.9
05/17/2024,11:00,17.65,.56,7.12,8.17,85.8,1.87,1.67,.19,-4100,6.9
